data_avgyear,country,med_exp,min_wage
2003,Australia,,
2004,Slovenia,,
2006,Slovenia,,
2008,Slovenia,,
1997,Spain,,
2001,Spain,,
2006,Poland,,
1995,Nigeria,,
1997,Netherlands,,
2007,Malaysia,,
2000,Bangladesh,,
1985,Philippines,,
2011,South Africa,,
2008,Indonesia,,
2013,Nigeria,,
2007,Australia,,
2005,India,,
1992,Ghana,,
1999,Ghana,,
2017,Turkey,,
2001,China,,
2011,Nigeria,,
1970,United States,,
1965,United States,,
1950,United States,,
1960,United States,,
1980,United States,,
1990,United States,,
2013,Thailand,,
1989,China,,
1993,China,,
1997,China,,
2000,China,,
1995,China,,
2010,Zambia,,
2002,Pakistan,,
2003,Sri Lanka,,
1996,Thailand,,
1998,Nigeria,,
1988,Egypt,,
1998,Egypt,,
2006,Egypt,,
1988,Iran,,
1998,Iran,,
2006,Iran,,
1988,Turkey,,
1998,Turkey,,
2006,Turkey,,
1987,Turkey,,
2001,Turkey,,
2006,Georgia,,
1995,Ethiopia,,
2017,Greece,,
2008,Thailand,,
1983,India,,
1993,India,,
1999,India,,
1986,Papua New Guinea,,
1985,Thailand,,
1995,Thailand,,
1998,Thailand,,
2004,Indonesia,,
2007,Indonesia,,
2000,Indonesia,,
2001,United Kingdom,,
2002,China,,
2012,Egypt,,
1999,United Kingdom,,
1994,Kenya,,
1991,Norway,,
2007,Turkey,,
1960,Italy,,
2001,Tanzania,,
2006,Tanzania,,
2014,Tanzania,,
1987,Austria,,
2008,Australia,,
1989,Ghana,,
1958,United Kingdom,,
2017,Palestine,,
2011,Belgium,,
1996,China,,
2009,China,,
1995,Ghana,,
2009,Australia,,
1997,Sweden,,
2005,Sweden,,
2015,Sweden,,
2006,Sweden,,
2005,China,,
2007,China,,
1981,United States,,
1983,Nigeria,,
2005,Malawi,,
1986,Portugal,,
1996,Portugal,,
2005,Portugal,,
2010,Portugal,,
2013,Portugal,,
2010,Jordan,,
2014,Tunisia,,
2010,Australia,,
1995,Norway,,
1982,Israel,,
1983,Israel,,
1984,Israel,,
1985,Israel,,
1986,Israel,,
1987,Israel,,
1988,Israel,,
1989,Israel,,
1990,Israel,,
1991,Israel,,
1979,United States,,
1991,Russia,,
1993,Russia,,
1994,Russia,,
2002,France,,
2004,France,,
1982,United States,,
1983,United States,,
1984,United States,,
1985,United States,,
1986,United States,,
1987,United States,,
1988,United States,,
1989,United States,,
1991,United States,,
1992,United States,,
1993,United States,,
1994,United States,,
1995,United States,,
1996,United States,,
1997,United States,,
1998,United States,,
1999,United States,,
2000,United States,,
2001,United States,,
2002,United States,,
2003,United States,,
2004,United States,,
2005,United States,,
2006,United States,,
2007,United States,,
2008,United States,,
2009,United States,,
2010,United States,,
1976,United States,,
1978,United States,,
1984,Czech Republic,,
1993,Czech Republic,,
1984,Slovakia,,
1993,Slovakia,,
1984,Great Britain,,
1980,Brazil,,
1995,Indonesia,,
1994,India,,
1985,Russia,,
1990,Russia,,
1996,Russia,,
1998,Russia,,
2000,Russia,,
2002,Russia,,
1986,Ukraine,,
1991,Ukraine,,
1997,Ukraine,,
1998,Ukraine,,
2000,Ukraine,,
2002,Ukraine,,
1982,United Kingdom,,
1984,United Kingdom,,
2000,United Kingdom,,
1940,United States,,
1986,Germany,,
1985,Austria,,
1985,Germany,,
1993,Ghana,,
1990,India,,
